"행정구역","2019년01월_총인구수","2019년01월_세대수","2019년01월_세대당 인구","2019년01월_남자 인구수","2019년01월_여자 인구수","2019년01월_남여 비율","2019년02월_총인구수","2019년02월_세대수","2019년02월_세대당 인구","2019년02월_남자 인구수","2019년02월_여자 인구수","2019년02월_남여 비율","2019년03월_총인구수","2019년03월_세대수","2019년03월_세대당 인구","2019년03월_남자 인구수","2019년03월_여자 인구수","2019년03월_남여 비율","2019년04월_총인구수","2019년04월_세대수","2019년04월_세대당 인구","2019년04월_남자 인구수","2019년04월_여자 인구수","2019년04월_남여 비율","2019년05월_총인구수","2019년05월_세대수","2019년05월_세대당 인구","2019년05월_남자 인구수","2019년05월_여자 인구수","2019년05월_남여 비율","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율","2019년07월_총인구수","2019년07월_세대수","2019년07월_세대당 인구","2019년07월_남자 인구수","2019년07월_여자 인구수","2019년07월_남여 비율","2019년08월_총인구수","2019년08월_세대수","2019년08월_세대당 인구","2019년08월_남자 인구수","2019년08월_여자 인구수","2019년08월_남여 비율","2019년09월_총인구수","2019년09월_세대수","2019년09월_세대당 인구","2019년09월_남자 인구수","2019년09월_여자 인구수","2019년09월_남여 비율","2019년10월_총인구수","2019년10월_세대수","2019년10월_세대당 인구","2019년10월_남자 인구수","2019년10월_여자 인구수","2019년10월_남여 비율","2019년11월_총인구수","2019년11월_세대수","2019년11월_세대당 인구","2019년11월_남자 인구수","2019년11월_여자 인구수","2019년11월_남여 비율","2019년12월_총인구수","2019년12월_세대수","2019년12월_세대당 인구","2019년12월_남자 인구수","2019년12월_여자 인구수","2019년12월_남여 비율"
"전국  (1000000000)","51,826,287","22,081,397","          2.35","25,865,518","25,960,769","          1.00","51,829,538","22,131,431","          2.34","25,866,255","25,963,283","          1.00","51,833,175","22,175,371","          2.34","25,866,984","25,966,191","          1.00","51,836,763","22,212,339","          2.33","25,867,727","25,969,036","          1.00","51,840,339","22,253,218","          2.33","25,868,330","25,972,009","          1.00","51,842,636","22,281,663","          2.33","25,868,406","25,974,230","          1.00","51,845,612","22,314,013","          2.32","25,868,638","25,976,974","          1.00","51,847,538","22,347,155","          2.32","25,868,377","25,979,161","          1.00","51,849,253","22,380,985","          2.32","25,868,023","25,981,230","          1.00","51,850,705","22,414,439","          2.31","25,867,179","25,983,526","          1.00","51,851,427","22,444,006","          2.31","25,866,604","25,984,823","          1.00","51,849,861","22,481,466","          2.31","25,864,816","25,985,045","          1.00"
"서울특별시  (1100000000)","9,766,288","4,271,551","          2.29","4,772,822","4,993,466","          0.96","9,770,638","4,283,150","          2.28","4,773,605","4,997,033","          0.96","9,770,216","4,290,922","          2.28","4,772,134","4,998,082","          0.95","9,766,886","4,296,066","          2.27","4,769,474","4,997,412","          0.95","9,762,062","4,301,522","          2.27","4,766,085","4,995,977","          0.95","9,757,144","4,304,243","          2.27","4,762,711","4,994,433","          0.95","9,751,415","4,308,300","          2.26","4,759,105","4,992,310","          0.95","9,744,888","4,312,172","          2.26","4,754,998","4,989,890","          0.95","9,740,398","4,315,921","          2.26","4,751,696","4,988,702","          0.95","9,736,289","4,319,322","          2.25","4,749,055","4,987,234","          0.95","9,732,577","4,322,454","          2.25","4,746,636","4,985,941","          0.95","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95"
"부산광역시  (2600000000)","3,438,259","1,481,315","          2.32","1,690,527","1,747,732","          0.97","3,436,230","1,483,699","          2.32","1,689,253","1,746,977","          0.97","3,434,091","1,485,852","          2.31","1,687,792","1,746,299","          0.97","3,431,750","1,487,469","          2.31","1,686,235","1,745,515","          0.97","3,429,595","1,489,073","          2.30","1,684,792","1,744,803","          0.97","3,427,632","1,490,226","          2.30","1,683,596","1,744,036","          0.97","3,425,317","1,491,205","          2.30","1,682,209","1,743,108","          0.97","3,423,209","1,492,645","          2.29","1,681,015","1,742,194","          0.96","3,421,502","1,494,074","          2.29","1,679,894","1,741,608","          0.96","3,418,871","1,495,123","          2.29","1,678,363","1,740,508","          0.96","3,416,721","1,496,361","          2.28","1,677,165","1,739,556","          0.96","3,413,841","1,497,908","          2.28","1,675,417","1,738,424","          0.96"
"대구광역시  (2700000000)","2,460,382","1,022,727","          2.41","1,218,478","1,241,904","          0.98","2,458,138","1,023,970","          2.40","1,217,209","1,240,929","          0.98","2,455,829","1,024,813","          2.40","1,215,750","1,240,079","          0.98","2,454,154","1,025,515","          2.39","1,214,640","1,239,514","          0.98","2,452,291","1,026,813","          2.39","1,213,494","1,238,797","          0.98","2,450,478","1,027,230","          2.39","1,212,450","1,238,028","          0.98","2,448,666","1,027,763","          2.38","1,211,432","1,237,234","          0.98","2,446,745","1,028,022","          2.38","1,210,476","1,236,269","          0.98","2,445,270","1,028,806","          2.38","1,209,564","1,235,706","          0.98","2,443,528","1,029,583","          2.37","1,208,429","1,235,099","          0.98","2,441,581","1,030,190","          2.37","1,207,318","1,234,263","          0.98","2,438,031","1,031,251","          2.36","1,205,286","1,232,745","          0.98"
"인천광역시  (2800000000)","2,955,916","1,216,126","          2.43","1,482,441","1,473,475","          1.01","2,956,063","1,218,462","          2.43","1,482,440","1,473,623","          1.01","2,956,513","1,220,608","          2.42","1,482,588","1,473,925","          1.01","2,956,700","1,222,515","          2.42","1,482,820","1,473,880","          1.01","2,957,179","1,225,024","          2.41","1,483,087","1,474,092","          1.01","2,957,024","1,226,531","          2.41","1,482,934","1,474,090","          1.01","2,956,828","1,228,176","          2.41","1,482,651","1,474,177","          1.01","2,956,525","1,230,253","          2.40","1,482,375","1,474,150","          1.01","2,956,804","1,232,450","          2.40","1,482,453","1,474,351","          1.01","2,956,984","1,234,799","          2.39","1,482,413","1,474,571","          1.01","2,957,249","1,236,770","          2.39","1,482,519","1,474,730","          1.01","2,957,026","1,238,641","          2.39","1,482,249","1,474,777","          1.01"
"광주광역시  (2900000000)","1,459,832","604,691","          2.41","722,902","736,930","          0.98","1,459,208","605,981","          2.41","722,689","736,519","          0.98","1,458,930","607,007","          2.40","722,511","736,419","          0.98","1,458,940","608,121","          2.40","722,495","736,445","          0.98","1,459,003","609,584","          2.39","722,531","736,472","          0.98","1,459,024","610,567","          2.39","722,559","736,465","          0.98","1,459,486","611,937","          2.39","722,801","736,685","          0.98","1,459,438","613,002","          2.38","722,608","736,830","          0.98","1,459,632","613,991","          2.38","722,595","737,037","          0.98","1,459,360","614,917","          2.37","722,448","736,912","          0.98","1,458,915","615,885","          2.37","722,168","736,747","          0.98","1,456,468","616,485","          2.36","720,740","735,728","          0.98"
"대전광역시  (3000000000)","1,488,725","626,103","          2.38","743,851","744,874","          1.00","1,487,605","627,893","          2.37","743,135","744,470","          1.00","1,486,647","629,084","          2.36","742,647","744,000","          1.00","1,485,509","629,623","          2.36","742,095","743,414","          1.00","1,484,398","630,429","          2.35","741,504","742,894","          1.00","1,482,938","630,835","          2.35","740,834","742,104","          1.00","1,481,701","631,528","          2.35","740,227","741,474","          1.00","1,480,520","632,274","          2.34","739,595","740,925","          1.00","1,479,641","633,284","          2.34","739,110","740,531","          1.00","1,478,436","634,132","          2.33","738,400","740,036","          1.00","1,476,955","634,605","          2.33","737,607","739,348","          1.00","1,474,870","635,343","          2.32","736,607","738,263","          1.00"
"울산광역시  (3100000000)","1,154,786","462,218","          2.50","593,436","561,350","          1.06","1,153,735","462,929","          2.49","592,853","560,882","          1.06","1,152,800","463,628","          2.49","592,362","560,438","          1.06","1,152,293","464,318","          2.48","592,037","560,256","          1.06","1,151,685","465,046","          2.48","591,690","559,995","          1.06","1,151,301","465,588","          2.47","591,449","559,852","          1.06","1,150,891","466,091","          2.47","591,161","559,730","          1.06","1,150,294","466,584","          2.47","590,889","559,405","          1.06","1,149,873","467,135","          2.46","590,619","559,254","          1.06","1,149,409","467,642","          2.46","590,332","559,077","          1.06","1,148,922","468,072","          2.45","590,098","558,824","          1.06","1,148,019","468,659","          2.45","589,712","558,307","          1.06"
"세종특별자치시  (3600000000)","316,814","124,840","          2.54","158,090","158,724","          1.00","320,326","126,337","          2.54","159,860","160,466","          1.00","322,693","127,487","          2.53","161,056","161,637","          1.00","324,417","128,330","          2.53","161,944","162,473","          1.00","325,777","129,052","          2.52","162,578","163,199","          1.00","327,643","129,937","          2.52","163,528","164,115","          1.00","330,298","131,110","          2.52","164,832","165,466","          1.00","332,098","131,826","          2.52","165,740","166,358","          1.00","333,757","132,657","          2.52","166,548","167,209","          1.00","336,356","133,728","          2.52","167,810","168,546","          1.00","338,647","134,616","          2.52","168,916","169,731","          1.00","340,575","135,408","          2.52","169,845","170,730","          0.99"
"경기도  (4100000000)","13,090,648","5,320,873","          2.46","6,584,729","6,505,919","          1.01","13,104,696","5,336,962","          2.46","6,592,095","6,512,601","          1.01","13,116,579","5,350,353","          2.45","6,598,392","6,518,187","          1.01","13,129,508","5,363,723","          2.45","6,605,143","6,524,365","          1.01","13,145,482","5,378,654","          2.44","6,613,473","6,532,009","          1.01","13,159,178","5,390,454","          2.44","6,620,514","6,538,664","          1.01","13,176,011","5,404,604","          2.44","6,629,105","6,546,906","          1.01","13,193,943","5,419,790","          2.43","6,638,077","6,555,866","          1.01","13,207,219","5,433,375","          2.43","6,644,899","6,562,320","          1.01","13,218,912","5,446,200","          2.43","6,650,459","6,568,453","          1.01","13,228,177","5,456,597","          2.42","6,654,571","6,573,606","          1.01","13,239,666","5,468,920","          2.42","6,659,995","6,579,671","          1.01"
